0,1,2,Label
92,108,111,0
93,112,117,0
112,139,132,0
122,138,140,0
195,192,200,2
206,201,209,1
229,232,240,1
212,212,221,1
243,234,234,1
195,193,197,1
226,231,222,1
198,200,198,1
254,250,241,1
232,224,224,1
210,199,200,1
234,224,216,1
194,186,187,1
137,140,143,1
97,109,113,0
113,123,127,0
176,166,155,0
142,136,129,0
126,120,115,0
180,162,149,0
135,143,137,0
87,97,98,0
59,70,68,0
66,80,69,0
66,77,70,0
11,12,12,0
37,34,33,0
31,38,31,0
36,40,33,0
30,34,28,0
37,39,35,0
29,31,27,0
28,35,30,0
33,36,34,0
37,41,41,0
39,51,45,0
40,52,43,0
41,52,52,0
47,53,48,0
51,49,51,0
90,112,108,0
104,134,120,0
70,76,80,0
80,106,102,0
80,95,98,0
103,114,119,0
165,169,171,0
172,178,184,0
240,233,240,1
250,247,246,1
252,253,252,1
253,248,248,1
242,234,233,1
216,214,220,1
212,209,209,1
208,210,210,1
240,232,225,1
248,240,237,1
219,214,214,1
255,246,240,1
226,217,213,1
234,226,218,1
238,230,226,1
127,140,140,2
96,119,119,0
136,144,139,0
132,135,134,0
106,118,121,0
95,134,126,0
73,84,77,0
74,93,81,0
56,58,57,0
68,66,67,0
59,58,60,0
35,42,37,0
16,16,15,0
39,50,48,0
57,63,60,0
53,65,67,0
81,98,95,0
137,130,110,0
49,68,66,0
54,69,63,0
59,79,78,0
78,107,98,0
152,157,147,0
50,71,59,0
66,84,73,0
65,89,85,0
88,123,103,0
100,130,118,0
94,118,113,0
104,120,129,0
115,122,124,0
189,185,195,1
233,227,228,1
252,253,253,1
251,247,252,1
252,254,254,1
247,242,245,1
235,237,236,1
220,217,225,1
248,236,236,1
228,217,218,1
171,170,172,1
210,204,210,1
252,238,227,1
204,199,195,1
216,199,193,1
253,241,226,1
255,254,244,1
254,238,232,1
251,237,224,1
210,194,191,1
161,165,163,2
124,127,121,0
117,120,118,0
151,145,143,0
98,95,103,0
81,105,97,0
122,133,131,0
99,109,99,0
181,171,148,0
32,36,40,0
39,46,42,0
15,20,16,0
46,53,52,0
58,78,65,0
27,31,34,0
47,46,48,0
72,86,84,0
64,87,84,0
108,115,113,0
116,129,132,0
91,104,108,0
89,100,105,0
104,115,115,0
108,119,127,0
116,137,145,0
96,111,115,0
113,127,129,0
191,198,204,1
215,214,219,1
221,217,223,1
237,235,239,1
250,247,251,1
254,249,249,1
245,245,249,1
233,230,233,1
226,217,226,1
224,221,230,1
203,204,213,1
185,187,196,1
207,203,208,1
206,200,203,1
226,217,222,1
244,233,235,1
214,215,219,1
221,213,216,1
234,223,219,1
247,233,225,1
223,210,204,1
167,161,155,1
207,188,182,1
203,191,189,1
141,136,137,1
102,110,100,0
97,111,109,0
93,103,100,0
94,109,107,0
74,90,94,0
74,94,99,0
60,75,68,0
53,58,54,0
32,36,33,0
17,23,18,0
65,72,65,0
64,72,65,0
62,76,71,0
83,98,94,0
92,110,110,0
85,109,104,0
99,118,115,0
75,94,95,0
81,101,103,0
93,108,114,0
119,135,141,0
112,120,120,0
177,182,188,1
189,192,193,1
217,214,216,1
228,226,227,1
240,235,236,1
246,245,250,1
253,246,248,1
231,217,221,1
236,235,235,1
249,252,253,1
224,221,235,1
210,205,213,1
195,191,196,1
172,170,175,1
194,186,189,1
193,189,200,1
221,215,218,1
243,236,239,1
208,201,210,1
250,242,242,1
220,215,216,1
223,217,212,1
178,170,169,1
189,182,183,1
196,190,184,1
220,205,199,1
239,222,213,1
163,159,163,1
136,136,136,2
103,106,111,0
101,107,105,0
90,96,96,0
81,79,78,0
120,122,121,0
51,68,56,0
78,85,84,0
61,70,67,0
19,20,19,0
81,94,96,0
76,96,97,0
91,106,104,0
81,101,103,0
87,100,101,0
112,135,141,0
129,142,149,0
105,120,123,0
89,109,110,0
85,104,98,0
177,185,187,1
194,195,199,1
212,210,212,1
217,213,212,1
242,240,236,1
236,231,232,1
233,228,232,1
216,218,227,1
222,215,220,1
200,199,208,1
215,208,214,1
218,212,221,1
186,183,190,1
182,184,195,1
169,171,180,1
161,170,180,1
204,196,206,1
240,234,239,1
226,216,223,1
230,222,233,1
234,231,237,1
237,230,236,1
223,220,224,1
209,204,205,1
244,242,241,1
208,200,197,1
213,201,200,1
210,201,201,1
200,195,191,1
204,194,187,1
192,187,185,1
141,142,140,1
127,133,131,0
107,109,119,0
70,73,79,0
103,104,104,0
111,112,113,0
130,135,136,0
112,116,120,0
20,24,26,0
83,97,104,0
92,107,113,0
88,98,105,0
102,125,125,0
88,97,101,0
114,124,129,0
94,114,111,0
131,138,145,2
167,167,169,1
190,186,189,1
201,198,203,1
208,207,207,1
203,205,204,1
218,213,214,1
223,216,217,1
237,233,233,1
215,213,212,1
214,210,220,1
212,208,219,1
246,236,240,1
213,209,221,1
213,211,222,1
192,192,209,1
191,190,203,1
176,178,195,1
190,191,200,1
203,199,206,1
231,229,239,1
226,217,223,1
228,226,230,1
254,252,253,1
228,223,225,1
225,224,226,1
212,207,206,1
206,206,208,1
196,196,196,1
236,224,221,1
220,213,212,1
219,207,205,1
189,183,183,1
196,184,184,1
199,192,190,1
123,132,132,2
95,109,104,0
108,118,116,0
83,93,98,0
80,82,88,0
114,125,126,0
136,143,146,0
39,34,34,0
154,150,152,0
126,131,135,0
88,95,104,0
97,105,109,0
150,152,162,1
181,180,189,1
190,187,194,1
197,199,200,1
210,212,212,1
211,208,212,1
214,210,215,1
210,206,207,1
216,213,212,1
197,195,196,1
208,211,215,1
199,202,208,1
214,212,219,1
229,218,218,1
210,210,220,1
196,202,215,1
215,215,224,1
206,208,222,1
189,195,209,1
188,190,200,1
234,229,232,1
197,198,207,1
191,187,198,1
189,184,196,1
190,189,198,1
211,210,217,1
242,236,241,1
226,224,228,1
232,227,228,1
218,214,219,1
214,213,212,1
197,198,202,1
223,223,223,1
193,189,187,1
180,176,182,1
207,194,191,1
201,191,189,1
239,222,213,1
219,205,201,1
161,165,164,2
109,126,118,0
97,112,106,0
92,100,103,0
88,89,99,0
82,88,101,0
27,26,32,0
125,132,139,2
133,137,144,1
154,155,159,1
181,177,180,1
184,180,187,1
197,194,190,1
217,211,214,1
212,207,208,1
215,212,215,1
214,206,210,1
210,209,211,1
206,205,204,1
231,220,222,1
213,210,211,1
216,201,197,1
203,198,200,1
196,197,207,1
184,182,188,1
189,192,197,1
190,191,203,1
200,200,209,1
208,206,216,1
204,205,215,1
185,184,197,1
162,174,181,1
188,196,211,1
222,217,222,1
207,204,215,1
222,213,216,1
228,220,224,1
211,210,217,1
205,209,211,1
205,205,207,1
211,212,210,1
245,234,230,1
218,213,212,1
199,196,196,1
184,183,182,1
250,236,232,1
184,177,175,1
199,193,191,1
190,186,188,1
210,197,192,1
186,185,181,1
149,154,152,1
111,122,121,2
109,118,121,0
90,105,102,0
83,96,104,0
32,31,36,1
168,166,173,1
171,169,175,1
174,171,177,1
192,188,192,1
200,198,198,1
215,210,212,1
204,197,200,1
209,204,204,1
216,217,221,1
221,212,214,1
206,201,202,1
205,202,204,1
233,238,247,1
207,208,209,1
179,170,168,1
186,188,196,1
200,198,204,1
204,210,221,1
219,211,215,1
204,202,206,1
205,205,209,1
223,226,232,1
187,190,194,1
175,176,186,1
184,189,204,1
165,165,179,1
175,178,187,1
186,184,196,1
195,194,204,1
213,213,221,1
221,223,226,1
219,215,222,1
205,202,204,1
228,218,217,1
213,213,215,1
205,202,204,1
194,194,197,1
178,180,181,1
187,186,186,1
198,192,191,1
176,171,171,1
183,175,175,1
183,176,174,1
190,187,184,1
200,194,195,1
164,160,160,1
141,142,140,1
97,99,100,1
104,110,110,2
35,36,37,1
175,173,179,1
179,177,183,1
195,192,194,1
196,199,204,1
199,190,191,1
194,190,189,1
200,197,199,1
210,205,210,1
196,194,194,1
201,198,199,1
201,197,193,1
195,193,196,1
206,203,209,1
224,221,218,1
197,195,197,1
213,210,210,1
186,188,199,1
245,249,248,1
188,191,195,1
169,176,182,1
172,178,187,1
191,191,197,1
171,174,182,1
183,185,191,1
174,182,188,1
193,193,205,1
193,191,201,1
187,189,199,1
197,197,210,1
200,196,202,1
204,207,212,1
203,202,211,1
247,238,235,1
210,208,207,1
186,189,188,1
173,171,171,1
240,242,242,1
199,197,196,1
179,177,178,1
199,194,195,1
202,196,191,1
187,179,180,1
198,192,192,1
191,186,184,1
169,161,160,1
206,199,190,1
182,178,178,1
178,175,176,1
167,167,168,1
43,38,39,1
193,187,190,1
188,188,191,1
198,191,194,1
199,194,197,1
200,197,199,1
196,192,198,1
202,202,206,1
201,201,203,1
203,199,203,1
201,195,195,1
198,196,201,1
185,179,183,1
193,188,194,1
190,192,192,1
191,194,198,1
176,179,183,1
193,195,198,1
181,184,189,1
202,198,209,1
197,197,201,1
210,208,213,1
188,190,197,1
168,175,184,1
206,208,213,1
155,160,171,1
159,158,169,1
179,182,186,1
180,180,191,1
179,178,184,1
207,207,214,1
196,199,203,1
206,207,216,1
191,190,188,1
209,209,211,1
151,154,161,1
166,165,172,1
180,184,190,1
172,175,184,1
187,186,189,1
202,202,203,1
175,171,171,1
180,178,182,1
166,164,167,1
248,243,237,1
197,191,191,1
189,177,178,1
179,172,172,1
190,178,177,1
195,189,186,1
41,38,40,1
193,186,188,1
195,189,191,1
202,202,207,1
194,190,192,1
191,192,197,1
195,189,194,1
192,193,197,1
190,190,193,1
210,207,206,1
191,190,195,1
190,183,185,1
194,194,196,1
205,202,205,1
189,188,190,1
190,192,196,1
189,194,198,1
178,182,187,1
187,192,198,1
170,175,182,1
169,175,178,1
163,170,177,1
159,165,172,1
186,194,201,1
173,175,184,1
149,159,169,1
150,153,160,1
166,161,167,1
161,160,169,1
182,181,186,1
185,187,193,1
171,173,181,1
202,202,206,1
200,198,200,1
189,189,189,1
140,141,148,1
162,163,168,1
183,186,186,1
146,147,153,1
168,164,167,1
181,174,177,1
238,220,211,1
189,184,189,1
164,163,167,1
190,185,185,1
180,169,166,1
188,179,179,1
126,122,124,1
173,168,165,1
181,177,175,1
45,40,41,1
184,181,184,1
203,196,200,1
196,192,194,1
195,189,192,1
195,188,195,1
188,189,194,1
192,189,191,1
193,193,196,1
187,188,191,1
185,183,186,1
181,175,176,1
169,172,176,1
178,181,189,1
228,230,231,1
178,185,192,1
173,168,169,1
158,165,174,1
183,188,196,1
178,181,189,1
169,175,182,1
171,171,177,1
169,174,181,1
170,176,184,1
176,182,186,1
159,169,181,1
170,177,182,1
187,186,191,1
173,173,179,1
185,186,190,1
214,215,215,1
215,211,209,1
187,185,193,1
192,195,201,1
184,188,196,1
203,204,204,1
179,174,174,1
171,171,168,1
173,175,175,1
158,151,154,1
177,171,173,1
155,154,157,1
125,125,126,1
166,166,166,1
139,137,138,1
164,157,151,1
154,153,157,1
157,155,154,1
161,158,159,1
183,176,173,1
44,38,39,1
183,177,182,1
182,178,183,1
183,178,186,1
192,182,184,1
173,170,175,1
170,168,177,1
172,170,172,1
186,184,189,1
201,196,197,1
194,192,196,1
175,177,187,1
178,181,186,1
162,166,174,1
184,186,194,1
175,180,187,1
162,167,172,1
212,208,207,1
209,206,207,1
174,175,184,1
171,174,178,1
164,167,175,1
139,141,151,1
173,181,194,1
146,154,158,1
147,153,158,1
157,163,168,1
174,173,174,1
170,171,177,1
190,188,189,1
205,201,205,1
194,193,195,1
218,216,217,1
204,202,204,1
200,204,205,1
210,212,214,1
202,203,204,1
194,201,204,1
242,237,235,1
163,167,170,1
146,149,153,1
188,188,196,1
138,139,139,1
169,169,171,1
180,181,177,1
161,165,167,1
184,181,191,1
154,154,154,1
153,152,154,1
149,145,144,1
44,38,41,1
191,186,197,1
170,163,166,1
188,175,178,1
190,184,187,1
172,166,177,1
163,163,174,1
165,160,169,1
188,183,186,1
165,161,166,1
171,172,181,1
170,173,177,1
186,183,185,1
166,169,177,1
160,167,174,1
166,169,177,1
158,159,168,1
154,159,168,1
160,163,172,1
168,170,178,1
165,171,171,1
159,165,171,1
150,157,166,1
143,149,154,1
126,131,135,1
151,157,156,1
208,206,211,1
178,181,182,1
167,166,166,1
186,186,190,1
182,180,191,1
187,186,184,1
194,194,194,1
197,196,197,1
198,201,202,1
203,205,206,1
229,224,224,1
214,213,212,1
192,191,191,1
190,190,189,1
190,193,197,1
191,194,194,1
180,184,189,1
194,193,198,1
197,199,200,1
183,183,184,1
183,181,181,1
174,171,172,1
153,147,148,1
156,152,153,1
40,37,43,1
178,172,177,1
162,158,163,1
186,183,190,1
184,181,187,1
187,183,195,1
201,202,207,1
247,241,244,1
181,182,187,1
184,184,190,1
186,183,185,1
173,175,182,1
188,188,191,1
180,181,185,1
169,174,178,1
160,165,171,1
157,160,167,1
180,179,186,1
157,159,168,1
158,161,170,1
159,162,171,1
157,161,172,1
161,164,172,1
175,178,185,1
148,153,160,1
171,174,184,1
156,163,162,1
169,172,177,1
191,187,188,1
185,182,184,1
185,181,182,1
191,186,187,1
210,202,202,1
202,197,201,1
196,197,199,1
177,174,180,1
203,200,203,1
217,217,217,1
207,204,206,1
200,199,198,1
193,195,195,1
194,195,195,1
200,197,201,1
172,171,172,1
166,169,167,1
189,184,181,1
185,181,179,1
184,178,178,1
175,170,171,1
170,167,166,1
41,37,37,1
176,163,165,1
184,178,179,1
194,193,202,1
182,175,181,1
195,201,215,1
209,207,213,1
182,181,187,1
187,181,194,1
176,174,183,1
206,203,211,1
184,186,194,1
177,175,181,1
176,177,181,1
163,166,174,1
159,165,170,1
154,156,163,1
126,128,137,1
143,146,153,1
157,159,167,1
149,150,160,1
156,159,167,1
173,175,182,1
155,161,169,1
177,177,182,1
170,164,165,1
152,155,159,1
199,195,196,1
192,187,192,1
196,191,190,1
178,173,175,1
225,218,216,1
188,184,184,1
188,187,191,1
197,194,195,1
192,193,197,1
194,190,192,1
201,198,199,1
202,199,201,1
184,182,181,1
181,179,179,1
184,181,183,1
191,189,189,1
196,191,190,1
183,182,182,1
179,179,178,1
185,183,185,1
174,170,166,1
179,176,175,1
182,176,177,1
